OBSERVED DATA,FINAL-VALUES
44.77,17.1188888398724
41.27,16.9087779734078
41.28,16.7193332893981
37.39,16.5367777071274
39.31,16.3611110662007
39.32,16.1888888157492
42.49,16.0235555066417
39.07,15.861666828601
38.06,15.71355571246
37.55,15.5585554143829
36.08,15.4173334801776
35.65,15.2761110647892
41.35,15.1417775105478
37.25,15.0143333788341
36.79,14.8903333168062
33.37,14.7594443936317
33.37,14.6423332729481
31.09,14.5252220720675
31.09,14.4115555824505
31.09,14.3013333229142
31.09,14.1945555741487
31.09,14.0912222158579
28.8,13.9913334084363
28.85,13.8914446010151
31.09,13.7950002241672
31.09,13.6985554864321
31.09,13.6089999306327
29.95,13.5228888856039
28.81,13.4298887789353
27.3,13.3506669559414
27.28,13.2680000607958
27.67,13.1784445049967
26.53,13.0957778103443
25.39,13.0200000169377
22.67,12.9407779132533
23.15,12.8684443098287
21.75,12.7926665164221
24.51,12.7203333941805
28.31,12.6445555606754
27.15,12.5791110188906
27.08,12.5136665573035
27.67,12.4413333548646
27.67,12.3758888531786
34.85,12.3173334131328
32.23,12.2518887911511
31.09,12.1864443696621
27.14,12.1278886890247
26.5,12.0624441873387
26.58,12.0004445172121
25.39,11.9418888365747
20.43,11.8833332762331
20.95,11.8247777158911
20.95,11.7731111369923
20.94,11.7180000874214
19.85,11.6628888774561
25.39,11.6043331567198
33.37,11.5492223477405
42.49,11.4975554881516
54.16,11.4493333799246
47.23,11.3942221699593
34.51,11.3425557113564
29.95,11.2977776728156
26.53,11.2495556046875
23.15,11.2047778067387
23.98,11.1496668373647
22.04,11.1014444083494
23.99,11.0566667306961
20.09,11.0084443818778
17.91,10.9636665037317
16.95,10.9188891468674
22.05,10.874111188524
24.01,10.8293333905748
20.95,10.7879999029035
20.95,10.7432221450532
20.95,10.701888978171
20.95,10.660555650894
22.06,10.615777973241
22.05,10.5813333467167
19.85,10.5365554685706
17.94,10.495222221491
16.81,10.453888894214
17.14,10.416000157905
17.48,10.3781110607089
15.71,10.3367777334319
15.45,10.3023334677951
13.88,10.264444370599
13.49,10.2265555139942
13.27,10.1886668177841
14.26,10.1473332499154
15.02,10.116333334655
14.52,10.0818889086238
17.65,10.0439998916247
15.24,10.0095554254951
14.46,9.97511119995677
13.29,9.93722226315497
16.55,9.90622226769716
14.35,9.86833337099386
13.25,9.83388882466688
12.45,9.80633313948689
11.51,9.77533350491696
9.628,9.73744456811516
10.18,9.70988888293517
9.449,9.67888904787204
8.7,9.64444450154507
8.946,9.60999987502074
7.6,9.58588874071027
8.036,9.5548888655483
7.064,9.52044435931982
7.05,9.48944440396086
11.45,9.46533326965038
11.65,9.43088888371775
12.45,9.4033332386366
10.05,9.37922214442462
10.71,9.34477779859049
8.15,9.30688886178869
8.15,9.27933329690454
6.8,9.25866659316739
7.65,9.2242222072351
6.79,9.20011095262843
5.7,9.17600009900814
5.9,9.14155543238532
4.535,9.11399998779737
3.848,9.08988889358539
3.822,9.05888885802908
3.788,9.04166662496409
6.13,9.00722219893295
14.35,8.98655565559049
11.27,8.95555545963983
13.19,8.93144436542786
13.54,8.91077782208505
11.44,8.87977790682492
12.85,8.85566665221825
11.65,8.82811104723561
12.45,8.80399999312248
8.159,8.7798889791075
7.873,8.75922227537069
7.742,8.7316666302892
7.875,8.71100000674939
